typo,district
-,-
,-
Aceh Singkil,Aceh Singkil
Aceh Utara,Aceh Utara
Adiankoting/Tapanuli Utara,Tapanuli Utara
Alor,Alor
Amanuban Tengah/Tts,Timor Tengah Selatan
Ambon,Kota Ambon
Atambua,Atambua
Badung,Badung
Bali,-
Balik Papan.,Kota Balikpapan
Balikapapan,Kota Balikpapan
Balikpapan,Kota Balikpapan
Balikpapan Selatan,Kota Balikpapan
Balikpapan Sepinggan Raya,Kota Balikpapan
Balikpapans,Kota Balikpapan
Bandar Lampung,Kota Bandar Lampung
Bandung,Bandung
Bandung Barat,Bandung Barat
Bandung barat,Bandung Barat
Bandunh,Bandung
Bangkalan,Bangkalan
Banjar,Kota Banjar
Banjarnegara,Banjarnegara
Banten,-
Bantul,Bantul
Banyuasin,Banyuasin
Banyumas,Banyumas
Banyuwangi,Banyuwangi
Barito Timur,Barito Timur
Bekasi,Bekasi
Bekasi Utara,Bekasi
Belasi,Bekasi
Belu,Belu
Blitar,Blitar
Blora,Blora
Bndung,Bandung
BOGOR,Bogor
Bogor,Bogor
Bogor ,Bogor
Bogor Ba Rat,Kota Bogor
Bogor Barat,Kota Bogor
Bogor Kota,Kota Bogor
Bojonegoro,Bojonegoro
Bondowoso,Bondowoso
BONE,Bone
Bontang,Kota Bontang
Boyolali,Boyolali
Brebes,Brebes
Buol,Buol
Ciamis,Ciamis
Ciamis ,Ciamis
Cianjur,Cianjur
Cilacap,Cilacap
Cilacap ,Cilacap
"Cilacap, Kroya ",Cilacap
Cimahi,Kota Cimahi
Cirebon,Cirebon
Cirebon ,Cirebon
D.I Yogyakarta,-
Dalong Labuan Bajo/Manggarai Barat,Manggarai Barat
Deli Serdang,Deli Serdang
Denpasar,Kota Denpasar
Denpasar Selatan,Kota Denpasar
Denpasarpanjer,Kota Denpasar
Depok,Kota Depok
Di Yogyakarta,-
Dinas Kesehatan Provinsi Ntt,Kota Kupang
"DIY, Kulon Progo",Kulon Progo
Dki Jakarta,-
"Domisili : Garut, Ktp : Bogor",Garut
Eban,Timor Tengah Utara
Ende,Ende
Fandikristian40@Gmail.Com Bantul,Bantul
Flores Timur,Flores Timur
Garoga,Tapanuli Utara
Garoga / Tapanuli Utara,Tapanuli Utara
"Garoga, Tapanuli Utara",Tapanuli Utara
Garoga/Tapanuli Utara,Tapanuli Utara
Garut,Garut
Gresik,Gresik
Grobogan,Grobogan
Gunung Kidul,Gunungkidul
Gunungkidul,Gunungkidul
Halmahera Selatan,Halmahera Selatan
In,-
Indragiri Hulu,Indragiri Hulu
Indramayu,Indramayu
Jakarta,-
Jakarta Barat,Kota Jakarta Barat
Jakarta Pusat,Kota Jakarta Pusat
Jakarta Selatan,Kota Jakarta Selatan
Jakarta Timur,Kota Jakarta Timur
Jakarta Utara,Kota Jakarta Utara
Jakarta/ Jakarta Timur,Kota Jakarta Timur
Jakartaselatan,Kota Jakarta Selatan
Jawa Barat,-
Jawa Tengah,-
Jawa Timur,-
Jawabarat (Depok),Kota Depok
Jayapura,Kota Jayapura
Jember,Kota Jember
Jepara,Jepara
"Jogjakarta, Kulon Progo",Kulon Progo
Jombang,Jombang
Kab .Tasikmalaya,Tasikmalaya
